row,sprayingDate,sprayStopHST,farm,site,product,phiDays,reiHours,expected_phi_stop,actual_phi_stop,phi_off_hrs,expected_rei_stop,actual_rei_stop,rei_off_hrs
86,2024-04-11,16:54,Cuke,07,Zerotol 2.0,0,1,2024-04-11 16:54,2024-04-11 16:54,0.0,2024-04-11 17:54,2024-04-11 16:54,1.0
113,2024-04-21,16:45,Cuke,06,Rally 40 WSP,0,24,2024-04-21 16:45,2024-04-21 16:45,0.0,2024-04-22 16:45,2024-04-21 16:45,24.0
114,2024-04-21,16:40,Cuke,04,Zerotol 2.0,0,1,2024-04-21 16:40,2024-04-21 16:40,0.0,2024-04-21 17:40,2024-04-21 16:40,1.0
128,2024-04-24,12:00,Lettuce,GH,Azatin O,0,4,2024-04-24 12:00,2024-04-25 12:00,24.0,2024-04-24 16:00,2024-04-25 16:00,24.0
186,2024-05-29,16:00,Cuke,04,Luna Experience,7,12,2024-06-05 16:00,2024-06-05 17:00,1.0,2024-05-30 04:00,2024-05-30 05:00,1.0
187,2024-05-29,16:00,Cuke,07,Quadris,1,4,2024-05-30 16:00,2024-05-30 17:00,1.0,2024-05-29 20:00,2024-05-29 21:00,1.0
189,2024-05-30,16:00,Cuke,08,Nanocrop,0,0,2024-05-30 16:00,2024-05-30 17:00,1.0,2024-05-30 16:00,2024-05-30 17:00,1.0
190,2024-05-31,20:13,Lettuce,GH,Pyganic 5.0,0,12,2024-05-31 20:13,2024-05-31 00:00,20.2,2024-06-01 08:13,2024-05-31 12:00,20.2
199,2024-06-06,21:00,Lettuce,GH,Pyganic 5.0,0,12,2024-06-06 21:00,2024-06-07 01:00,4.0,2024-06-07 09:00,2024-06-07 13:00,4.0
226,2024-07-01,21:00,Lettuce,GH,Pyganic 5.0,0,12,2024-07-01 21:00,2024-07-02 02:00,5.0,2024-07-02 09:00,2024-07-02 14:00,5.0
231,2024-07-04,21:00,Lettuce,GH,Pyganic 5.0,0,12,2024-07-04 21:00,2024-07-05 02:00,5.0,2024-07-05 09:00,2024-07-05 14:00,5.0
290,2024-09-03,18:00,Cuke,07,Luna Sensation,0,12,2024-09-03 18:00,2024-09-04 18:00,24.0,2024-09-04 06:00,2024-09-05 06:00,24.0
370,2024-11-04,02:00,Lettuce,GH,Pyganic 5.0,0,12,2024-11-04 02:00,2024-11-05 02:00,24.0,2024-11-04 14:00,2024-11-05 14:00,24.0
413,2024-12-10,16:48,Cuke,04,Luna Sensation,0,12,2024-12-10 16:48,2024-10-12 16:48,1416.0,2024-12-11 04:48,2024-10-13 04:48,1416.0
414,2024-12-11,17:15,Cuke,05,Luna Experience,1,4,2024-12-12 17:15,2024-11-13 17:15,696.0,2024-12-11 21:15,2024-11-12 21:15,696.0
438,2025-01-06,17:00,Cuke,05,Vivando,0,12,2025-01-06 17:00,2025-01-06 17:00,0.0,2025-01-07 05:00,2025-02-06 05:00,720.0
440,2025-01-07,16:30,Cuke,06,Gatten,0,4,2025-01-07 16:30,2025-07-01 16:30,4200.0,2025-01-07 20:30,2025-07-01 20:30,4200.0
441,2025-01-08,16:30,Cuke,01,Torac,0,12,2025-01-08 16:30,2025-08-01 16:30,4920.0,2025-01-09 04:30,2025-08-02 04:30,4920.0
444,2025-01-12,16:30,Cuke,HI,Azatin O,0,4,2025-01-12 16:30,2025-12-01 16:30,7752.0,2025-01-12 20:30,2025-12-01 20:30,7752.0
466,2025-02-03,16:49,Cuke,HK,Quadris,1,4,2025-02-04 16:49,2025-03-03 16:49,648.0,2025-02-03 20:49,2025-03-02 20:49,648.0
467,2025-02-03,16:42,Cuke,08,Nanocrop,0,0,2025-02-03 16:42,2025-03-02 16:42,648.0,2025-02-03 16:42,2025-03-02 16:42,648.0
469,2025-02-04,16:40,Cuke,01,Luna Sensation,0,12,2025-02-04 16:40,2025-04-02 16:40,1368.0,2025-02-05 04:40,2025-04-03 04:40,1368.0
470,2025-02-05,16:45,Cuke,07,Quadris,1,4,2025-02-06 16:45,2025-05-03 16:45,2064.0,2025-02-05 20:45,2025-05-02 20:45,2064.0
472,2025-02-09,16:56,Cuke,KO,Nanocrop,0,0,2025-02-09 16:56,2025-09-02 16:56,4920.0,2025-02-09 16:56,2025-09-02 16:56,4920.0
473,2025-02-10,16:35,Cuke,04,Luna Experience,7,12,2025-02-17 16:35,2025-10-09 16:35,5616.0,2025-02-11 04:35,2025-10-03 04:35,5616.0
474,2025-02-10,16:38,Cuke,WA,Torac,1,12,2025-02-11 16:38,2025-10-03 16:38,5616.0,2025-02-11 04:38,2025-10-03 04:38,5616.0
476,2025-02-11,16:55,Cuke,HK,Gatten,0,12,2025-02-11 16:55,2025-11-02 16:55,6336.0,2025-02-12 04:55,2025-11-03 04:55,6336.0
477,2025-02-11,16:45,Cuke,01,Vivando,0,12,2025-02-11 16:45,2025-11-02 16:45,6336.0,2025-02-12 04:45,2025-11-03 04:45,6336.0
478,2025-02-12,16:45,Cuke,07,Gatten,0,12,2025-02-12 16:45,2025-12-02 16:45,7032.0,2025-02-13 04:45,2025-12-03 04:45,7032.0
500,2025-03-02,16:40,Cuke,05,Luna Experience,7,12,2025-03-09 16:40,2025-02-10 16:40,648.0,2025-03-03 04:40,2025-02-04 04:40,648.0
501,2025-03-02,16:40,Cuke,04,Gatten,0,12,2025-03-02 16:40,2025-02-03 16:40,648.0,2025-03-03 04:40,2025-02-04 04:40,648.0
504,2025-03-04,16:30,Cuke,WA,Luna Sensation,0,12,2025-03-04 16:30,2025-04-03 16:30,720.0,2025-03-05 04:30,2025-04-04 04:30,720.0
505,2025-03-04,16:30,Cuke,HI,Pyganic 5.0,0,12,2025-03-04 16:30,2025-04-03 16:30,720.0,2025-03-05 04:30,2025-04-04 04:30,720.0
506,2025-03-06,16:30,Cuke,06,Quadris,1,4,2025-03-07 16:30,2025-06-04 16:30,2136.0,2025-03-06 20:30,2025-06-03 20:30,2136.0
507,2025-03-06,16:40,Cuke,02,Gatten,0,12,2025-03-06 16:40,2025-06-03 16:40,2136.0,2025-03-07 04:40,2025-06-04 04:40,2136.0
509,2025-03-09,16:20,Cuke,HI,Torac,1,12,2025-03-10 16:20,2025-09-04 16:20,4272.0,2025-03-10 04:20,2025-09-04 04:20,4272.0
510,2025-03-09,16:30,Cuke,04,Luna Sensation,0,12,2025-03-09 16:30,2025-09-03 16:30,4272.0,2025-03-10 04:30,2025-09-04 04:30,4272.0
511,2025-03-10,16:29,Cuke,05,Torac,1,12,2025-03-11 16:29,2025-10-04 16:29,4968.0,2025-03-11 04:29,2025-10-04 04:29,4968.0
512,2025-03-10,16:30,Cuke,07,Nanocrop,0,0,2025-03-10 16:30,2025-10-03 16:30,4968.0,2025-03-10 16:30,2025-10-03 16:30,4968.0
514,2025-03-11,16:30,Cuke,06,Gatten,0,12,2025-03-11 16:30,2025-11-03 16:30,5688.0,2025-03-12 04:30,2025-11-04 04:30,5688.0
515,2025-03-11,16:30,Cuke,02,Luna Sensation,0,12,2025-03-11 16:30,2025-11-03 16:30,5688.0,2025-03-12 04:30,2025-11-04 04:30,5688.0
516,2025-03-12,16:30,Cuke,08,Luna Experience,7,12,2025-03-19 16:30,2025-12-10 16:30,6384.0,2025-03-13 04:30,2025-12-04 04:30,6384.0
517,2025-03-12,16:30,Cuke,WA,Vivando,0,12,2025-03-12 16:30,2025-12-03 16:30,6384.0,2025-03-13 04:30,2025-12-04 04:30,6384.0
544,2025-04-01,17:30,Cuke,KO,Quadris,1,4,2025-04-02 17:30,2025-01-05 17:30,2088.0,2025-04-01 21:30,2025-01-04 21:30,2088.0
545,2025-04-01,17:30,Cuke,08,Gatten,0,12,2025-04-01 17:30,2025-01-04 17:30,2088.0,2025-04-02 05:30,2025-01-05 05:30,2088.0
548,2025-04-06,17:30,Cuke,03,Quadris,1,4,2025-04-07 17:30,2025-06-05 17:30,1416.0,2025-04-06 21:30,2025-06-04 21:30,1416.0
549,2025-04-06,17:30,Cuke,HI,Vivando,0,12,2025-04-06 17:30,2025-06-04 17:30,1416.0,2025-04-07 05:30,2025-06-05 05:30,1416.0
550,2025-04-07,17:30,Cuke,06,Torino,0,4,2025-04-07 17:30,2025-07-04 17:30,2112.0,2025-04-07 21:30,2025-07-04 21:30,2112.0
551,2025-04-07,17:30,Cuke,02,Torino,0,4,2025-04-07 17:30,2025-07-04 17:30,2112.0,2025-04-07 21:30,2025-07-04 21:30,2112.0
553,2025-04-08,17:30,Cuke,HK,Luna Experience,7,12,2025-04-15 17:30,2025-08-11 17:30,2832.0,2025-04-09 05:30,2025-08-05 05:30,2832.0
554,2025-04-08,17:30,Cuke,01,Torac,1,12,2025-04-09 17:30,2025-08-05 17:30,2832.0,2025-04-09 05:30,2025-08-05 05:30,2832.0
634,2025-06-03,17:09,Cuke,07,Nanocrop,0,0,2025-06-03 17:09,2025-06-04 14:37,21.5,2025-06-03 17:09,2025-06-03 17:09,0.0
636,2025-06-03,17:09,Cuke,07,Nanocrop,0,12,2025-06-03 17:09,2025-06-03 08:38,8.5,2025-06-04 05:09,2025-06-04 05:09,0.0
802,2025-10-01,18:00,Cuke,KO,Gatten,0,12,2025-10-01 18:00,2025-01-10 18:00,6336.0,2025-10-02 06:00,2025-01-11 06:00,6336.0
805,2025-10-05,18:00,Cuke,07,Torac,1,12,2025-10-06 18:00,2025-05-11 18:00,3552.0,2025-10-06 06:00,2025-05-11 06:00,3552.0
806,2025-10-05,18:00,Cuke,WA,Luna Experience,7,12,2025-10-12 18:00,2025-05-17 18:00,3552.0,2025-10-06 06:00,2025-05-11 06:00,3552.0
807,2025-10-06,18:00,Cuke,HK,Quadris,1,4,2025-10-07 18:00,2025-06-11 18:00,2832.0,2025-10-06 22:00,2025-06-10 22:00,2832.0
808,2025-10-06,18:00,Cuke,01,Azatin O,0,12,2025-10-06 18:00,2025-06-10 18:00,2832.0,2025-10-07 06:00,2025-06-11 06:00,2832.0
809,2025-10-08,18:00,Cuke,KO,Luna Sensation,0,12,2025-10-08 18:00,2025-08-10 18:00,1416.0,2025-10-09 06:00,2025-08-11 06:00,1416.0
810,2025-10-08,18:00,Cuke,03,Gatten,0,12,2025-10-08 18:00,2025-08-10 18:00,1416.0,2025-10-09 06:00,2025-08-11 06:00,1416.0
811,2025-10-09,16:30,Cuke,KO,Luna Sensation,0,12,2025-10-09 16:30,2025-09-10 16:30,696.0,2025-10-10 04:30,2025-09-11 04:30,696.0
812,2025-10-09,16:30,Cuke,08,Torino,0,4,2025-10-09 16:30,2025-09-10 16:30,696.0,2025-10-09 20:30,2025-09-10 20:30,696.0
816,2025-10-12,16:30,Cuke,04,Luna Experience,7,12,2025-10-19 16:30,2025-12-17 16:30,1416.0,2025-10-13 04:30,2025-12-11 04:30,1416.0
848,2025-11-02,16:00,Cuke,07,Gatten,0,12,2025-11-02 16:00,2025-02-11 16:00,6336.0,2025-11-03 04:00,2025-02-12 04:00,6336.0
849,2025-11-02,16:00,Cuke,HI,Luna Experience,7,12,2025-11-09 16:00,2025-02-18 16:00,6336.0,2025-11-03 04:00,2025-02-12 04:00,6336.0
850,2025-11-03,16:00,Cuke,WA,Luna Sensation,0,12,2025-11-03 16:00,2025-03-11 16:00,5688.0,2025-11-04 04:00,2025-03-12 04:00,5688.0
851,2025-11-03,16:00,Cuke,04,Azatin O,0,12,2025-11-03 16:00,2025-03-11 16:00,5688.0,2025-11-04 04:00,2025-03-12 04:00,5688.0
853,2025-11-04,16:00,Cuke,06,Torac,1,12,2025-11-05 16:00,2025-04-12 16:00,4968.0,2025-11-05 04:00,2025-04-12 04:00,4968.0
854,2025-11-04,16:00,Cuke,02,Quadris,1,4,2025-11-05 16:00,2025-04-12 16:00,4968.0,2025-11-04 20:00,2025-04-11 20:00,4968.0
855,2025-11-05,16:00,Cuke,01,Oxidate 5.0,0,0,2025-11-05 16:00,2025-05-11 16:00,4272.0,2025-11-05 16:00,2025-05-11 16:00,4272.0
856,2025-11-05,16:00,Cuke,HK,Torino,0,4,2025-11-05 16:00,2025-05-11 16:00,4272.0,2025-11-05 20:00,2025-05-11 20:00,4272.0
858,2025-11-09,16:00,Cuke,HI,Torac,1,12,2025-11-10 16:00,2025-09-12 16:00,1416.0,2025-11-10 04:00,2025-09-12 04:00,1416.0
859,2025-11-09,16:00,Cuke,07,Torino,0,4,2025-11-09 16:00,2025-09-11 16:00,1416.0,2025-11-09 20:00,2025-09-11 20:00,1416.0
860,2025-11-10,15:30,Cuke,04,Gatten,0,12,2025-11-10 15:30,2025-10-11 15:30,720.0,2025-11-11 03:30,2025-10-12 03:30,720.0
861,2025-11-10,15:45,Cuke,06,Quadris,1,4,2025-11-11 15:45,2025-10-12 15:45,720.0,2025-11-10 19:45,2025-10-11 19:45,720.0
890,2025-12-03,16:30,Cuke,WA,Luna Sensation,0,12,2025-12-03 16:30,2025-03-12 16:30,6384.0,2025-12-04 04:30,2025-03-13 04:30,6384.0
933,2026-01-04,16:30,Cuke,01,Gatten,0,12,2026-01-04 16:30,2026-01-04 15:30,1.0,2026-01-05 04:30,2026-01-05 03:30,1.0
